Cidade,Uf,Estado,Regiao
Limoeiro do Ajuru,PA,Pará,Norte
Mãe do Rio,PA,Pará,Norte
Magalhães Barata,PA,Pará,Norte
Marabá,PA,Pará,Norte
Maracanã,PA,Pará,Norte
Marapanim,PA,Pará,Norte
Marituba,PA,Pará,Norte
Medicilândia,PA,Pará,Norte
Melgaço,PA,Pará,Norte
Mocajuba,PA,Pará,Norte
Moju,PA,Pará,Norte
Mojuí dos Campos,PA,Pará,Norte
Monte Alegre,PA,Pará,Norte
Muaná,PA,Pará,Norte
Nova Esperança do Piriá,PA,Pará,Norte
Nova Ipixuna,PA,Pará,Norte
Nova Timboteua,PA,Pará,Norte
Novo Progresso,PA,Pará,Norte
Novo Repartimento,PA,Pará,Norte
Óbidos,PA,Pará,Norte
Oeiras do Pará,PA,Pará,Norte
Oriximiná,PA,Pará,Norte
Ourém,PA,Pará,Norte
Ourilândia do Norte,PA,Pará,Norte
Pacajá,PA,Pará,Norte
Palestina do Pará,PA,Pará,Norte
Paragominas,PA,Pará,Norte
Parauapebas,PA,Pará,Norte
Pau D'Arco,PA,Pará,Norte
Peixe-Boi,PA,Pará,Norte
Piçarra,PA,Pará,Norte
Placas,PA,Pará,Norte
Ponta de Pedras,PA,Pará,Norte
Portel,PA,Pará,Norte
Porto de Moz,PA,Pará,Norte
Prainha,PA,Pará,Norte
Primavera,PA,Pará,Norte
Quatipuru,PA,Pará,Norte
Redenção,PA,Pará,Norte
Rio Maria,PA,Pará,Norte
Rondon do Pará,PA,Pará,Norte
Rurópolis,PA,Pará,Norte
Salinópolis,PA,Pará,Norte
Salvaterra,PA,Pará,Norte
Santa Bárbara do Pará,PA,Pará,Norte
Santa Cruz do Arari,PA,Pará,Norte
Santa Isabel do Pará,PA,Pará,Norte
Santa Luzia do Pará,PA,Pará,Norte
Santa Maria das Barreiras,PA,Pará,Norte
Santa Maria do Pará,PA,Pará,Norte
Santana do Araguaia,PA,Pará,Norte
Santarém,PA,Pará,Norte
Santarém Novo,PA,Pará,Norte
Santo Antônio do Tauá,PA,Pará,Norte
São Caetano de Odivelas,PA,Pará,Norte
São Domingos do Araguaia,PA,Pará,Norte
São Domingos do Capim,PA,Pará,Norte
São Félix do Xingu,PA,Pará,Norte
São Francisco do Pará,PA,Pará,Norte
São Geraldo do Araguaia,PA,Pará,Norte
São João da Ponta,PA,Pará,Norte
São João de Pirabas,PA,Pará,Norte
São João do Araguaia,PA,Pará,Norte
São Miguel do Guamá,PA,Pará,Norte
São Sebastião da Boa Vista,PA,Pará,Norte
Sapucaia,PA,Pará,Norte
Senador José Porfírio,PA,Pará,Norte
Soure,PA,Pará,Norte
Tailândia,PA,Pará,Norte
Terra Alta,PA,Pará,Norte
Terra Santa,PA,Pará,Norte
Tomé-Açu,PA,Pará,Norte
Tracuateua,PA,Pará,Norte
Trairão,PA,Pará,Norte
Tucumã,PA,Pará,Norte
Tucuruí,PA,Pará,Norte
Ulianópolis,PA,Pará,Norte
Uruará,PA,Pará,Norte
Vigia,PA,Pará,Norte
Viseu,PA,Pará,Norte
Vitória do Xingu,PA,Pará,Norte
Xinguara,PA,Pará,Norte
Serra do Navio,AP,Amapá,Norte
Amapá,AP,Amapá,Norte
Pedra Branca do Amapari,AP,Amapá,Norte
Calçoene,AP,Amapá,Norte
Cutias,AP,Amapá,Norte
Ferreira Gomes,AP,Amapá,Norte
Itaubal,AP,Amapá,Norte
Laranjal do Jari,AP,Amapá,Norte
Macapá,AP,Amapá,Norte
Mazagão,AP,Amapá,Norte
Oiapoque,AP,Amapá,Norte
Porto Grande,AP,Amapá,Norte
Pracuúba,AP,Amapá,Norte
Santana,AP,Amapá,Norte
Tartarugalzinho,AP,Amapá,Norte
Vitória do Jari,AP,Amapá,Norte
Abreulândia,TO,Tocantins,Norte
Aguiarnópolis,TO,Tocantins,Norte
Aliança do Tocantins,TO,Tocantins,Norte
Almas,TO,Tocantins,Norte
Alvorada,TO,Tocantins,Norte
Ananás,TO,Tocantins,Norte
Angico,TO,Tocantins,Norte
Aparecida do Rio Negro,TO,Tocantins,Norte
Aragominas,TO,Tocantins,Norte
Araguacema,TO,Tocantins,Norte
Araguaçu,TO,Tocantins,Norte
Araguaína,TO,Tocantins,Norte
Araguanã,TO,Tocantins,Norte
Araguatins,TO,Tocantins,Norte
Arapoema,TO,Tocantins,Norte
Arraias,TO,Tocantins,Norte
Augustinópolis,TO,Tocantins,Norte
Aurora do Tocantins,TO,Tocantins,Norte
Axixá do Tocantins,TO,Tocantins,Norte
Babaçulândia,TO,Tocantins,Norte
Bandeirantes do Tocantins,TO,Tocantins,Norte
Barra do Ouro,TO,Tocantins,Norte
Barrolândia,TO,Tocantins,Norte
Bernardo Sayão,TO,Tocantins,Norte
Bom Jesus do Tocantins,TO,Tocantins,Norte
Brasilândia do Tocantins,TO,Tocantins,Norte
Brejinho de Nazaré,TO,Tocantins,Norte
Buriti do Tocantins,TO,Tocantins,Norte
Cachoeirinha,TO,Tocantins,Norte
Campos Lindos,TO,Tocantins,Norte
Cariri do Tocantins,TO,Tocantins,Norte
Carmolândia,TO,Tocantins,Norte
Carrasco Bonito,TO,Tocantins,Norte
Caseara,TO,Tocantins,Norte
Centenário,TO,Tocantins,Norte
Chapada de Areia,TO,Tocantins,Norte
Chapada da Natividade,TO,Tocantins,Norte
Colinas do Tocantins,TO,Tocantins,Norte
Combinado,TO,Tocantins,Norte
Conceição do Tocantins,TO,Tocantins,Norte
Couto Magalhães,TO,Tocantins,Norte
Cristalândia,TO,Tocantins,Norte
Crixás do Tocantins,TO,Tocantins,Norte
Darcinópolis,TO,Tocantins,Norte
Dianópolis,TO,Tocantins,Norte
Divinópolis do Tocantins,TO,Tocantins,Norte
Dois Irmãos do Tocantins,TO,Tocantins,Norte
Dueré,TO,Tocantins,Norte
Esperantina,TO,Tocantins,Norte
Fátima,TO,Tocantins,Norte
Figueirópolis,TO,Tocantins,Norte
Filadélfia,TO,Tocantins,Norte
Formoso do Araguaia,TO,Tocantins,Norte
Fortaleza do Tabocão,TO,Tocantins,Norte
Goianorte,TO,Tocantins,Norte
Goiatins,TO,Tocantins,Norte
Guaraí,TO,Tocantins,Norte
Gurupi,TO,Tocantins,Norte
Ipueiras,TO,Tocantins,Norte
Itacajá,TO,Tocantins,Norte
Itaguatins,TO,Tocantins,Norte
Itapiratins,TO,Tocantins,Norte
Itaporã do Tocantins,TO,Tocantins,Norte
Jaú do Tocantins,TO,Tocantins,Norte
Juarina,TO,Tocantins,Norte
Lagoa da Confusão,TO,Tocantins,Norte
Lagoa do Tocantins,TO,Tocantins,Norte
Lajeado,TO,Tocantins,Norte
Lavandeira,TO,Tocantins,Norte
Lizarda,TO,Tocantins,Norte
Luzinópolis,TO,Tocantins,Norte
Marianópolis do Tocantins,TO,Tocantins,Norte
Mateiros,TO,Tocantins,Norte
Maurilândia do Tocantins,TO,Tocantins,Norte
Miracema do Tocantins,TO,Tocantins,Norte
Miranorte,TO,Tocantins,Norte
Monte do Carmo,TO,Tocantins,Norte
Monte Santo do Tocantins,TO,Tocantins,Norte
Palmeiras do Tocantins,TO,Tocantins,Norte
Muricilândia,TO,Tocantins,Norte
Natividade,TO,Tocantins,Norte
Nazaré,TO,Tocantins,Norte
Nova Olinda,TO,Tocantins,Norte
Nova Rosalândia,TO,Tocantins,Norte
Novo Acordo,TO,Tocantins,Norte
Novo Alegre,TO,Tocantins,Norte
Novo Jardim,TO,Tocantins,Norte
Oliveira de Fátima,TO,Tocantins,Norte
Palmeirante,TO,Tocantins,Norte
Palmeirópolis,TO,Tocantins,Norte
Paraíso do Tocantins,TO,Tocantins,Norte
Paranã,TO,Tocantins,Norte
Pau D'Arco,TO,Tocantins,Norte
Pedro Afonso,TO,Tocantins,Norte
Peixe,TO,Tocantins,Norte
Pequizeiro,TO,Tocantins,Norte
Colméia,TO,Tocantins,Norte
Pindorama do Tocantins,TO,Tocantins,Norte
Piraquê,TO,Tocantins,Norte
Pium,TO,Tocantins,Norte
Ponte Alta do Bom Jesus,TO,Tocantins,Norte
Ponte Alta do Tocantins,TO,Tocantins,Norte
Porto Alegre do Tocantins,TO,Tocantins,Norte
Porto Nacional,TO,Tocantins,Norte
Praia Norte,TO,Tocantins,Norte
Presidente Kennedy,TO,Tocantins,Norte
Pugmil,TO,Tocantins,Norte
Recursolândia,TO,Tocantins,Norte
Riachinho,TO,Tocantins,Norte
Rio da Conceição,TO,Tocantins,Norte
Rio dos Bois,TO,Tocantins,Norte
Rio Sono,TO,Tocantins,Norte
Sampaio,TO,Tocantins,Norte
Sandolândia,TO,Tocantins,Norte
Santa Fé do Araguaia,TO,Tocantins,Norte
Santa Maria do Tocantins,TO,Tocantins,Norte
Santa Rita do Tocantins,TO,Tocantins,Norte
Santa Rosa do Tocantins,TO,Tocantins,Norte
Santa Tereza do Tocantins,TO,Tocantins,Norte
Santa Terezinha do Tocantins,TO,Tocantins,Norte
São Bento do Tocantins,TO,Tocantins,Norte
São Félix do Tocantins,TO,Tocantins,Norte
São Miguel do Tocantins,TO,Tocantins,Norte
São Salvador do Tocantins,TO,Tocantins,Norte
São Sebastião do Tocantins,TO,Tocantins,Norte
São Valério,TO,Tocantins,Norte
Silvanópolis,TO,Tocantins,Norte
Sítio Novo do Tocantins,TO,Tocantins,Norte
Sucupira,TO,Tocantins,Norte
Taguatinga,TO,Tocantins,Norte
Taipas do Tocantins,TO,Tocantins,Norte
Talismã,TO,Tocantins,Norte
Palmas,TO,Tocantins,Norte
Tocantínia,TO,Tocantins,Norte
Tocantinópolis,TO,Tocantins,Norte
Tupirama,TO,Tocantins,Norte
Tupiratins,TO,Tocantins,Norte
Wanderlândia,TO,Tocantins,Norte
Xambioá,TO,Tocantins,Norte
Açailândia,MA,Maranhão,Nordeste
Afonso Cunha,MA,Maranhão,Nordeste
Água Doce do Maranhão,MA,Maranhão,Nordeste
Alcântara,MA,Maranhão,Nordeste
Aldeias Altas,MA,Maranhão,Nordeste
Altamira do Maranhão,MA,Maranhão,Nordeste
Alto Alegre do Maranhão,MA,Maranhão,Nordeste
Alto Alegre do Pindaré,MA,Maranhão,Nordeste
Alto Parnaíba,MA,Maranhão,Nordeste
Amapá do Maranhão,MA,Maranhão,Nordeste
Amarante do Maranhão,MA,Maranhão,Nordeste
Anajatuba,MA,Maranhão,Nordeste
Anapurus,MA,Maranhão,Nordeste
Apicum-Açu,MA,Maranhão,Nordeste
Araguanã,MA,Maranhão,Nordeste
Araioses,MA,Maranhão,Nordeste
Arame,MA,Maranhão,Nordeste
Arari,MA,Maranhão,Nordeste
Axixá,MA,Maranhão,Nordeste
Bacabal,MA,Maranhão,Nordeste
Bacabeira,MA,Maranhão,Nordeste
Bacuri,MA,Maranhão,Nordeste
Bacurituba,MA,Maranhão,Nordeste
Balsas,MA,Maranhão,Nordeste
Barão de Grajaú,MA,Maranhão,Nordeste
Barra do Corda,MA,Maranhão,Nordeste
Barreirinhas,MA,Maranhão,Nordeste
Belágua,MA,Maranhão,Nordeste
Bela Vista do Maranhão,MA,Maranhão,Nordeste
Benedito Leite,MA,Maranhão,Nordeste
Bequimão,MA,Maranhão,Nordeste
Bernardo do Mearim,MA,Maranhão,Nordeste
Boa Vista do Gurupi,MA,Maranhão,Nordeste
Bom Jardim,MA,Maranhão,Nordeste
Bom Jesus das Selvas,MA,Maranhão,Nordeste
Bom Lugar,MA,Maranhão,Nordeste
Brejo,MA,Maranhão,Nordeste
Brejo de Areia,MA,Maranhão,Nordeste
Buriti,MA,Maranhão,Nordeste
Buriti Bravo,MA,Maranhão,Nordeste
Buriticupu,MA,Maranhão,Nordeste
Buritirana,MA,Maranhão,Nordeste
Cachoeira Grande,MA,Maranhão,Nordeste
Cajapió,MA,Maranhão,Nordeste
Cajari,MA,Maranhão,Nordeste
Campestre do Maranhão,MA,Maranhão,Nordeste
Cândido Mendes,MA,Maranhão,Nordeste
Cantanhede,MA,Maranhão,Nordeste
Capinzal do Norte,MA,Maranhão,Nordeste
Carolina,MA,Maranhão,Nordeste
Carutapera,MA,Maranhão,Nordeste
Caxias,MA,Maranhão,Nordeste
Cedral,MA,Maranhão,Nordeste
Central do Maranhão,MA,Maranhão,Nordeste
Centro do Guilherme,MA,Maranhão,Nordeste
Centro Novo do Maranhão,MA,Maranhão,Nordeste
Chapadinha,MA,Maranhão,Nordeste
Cidelândia,MA,Maranhão,Nordeste
Codó,MA,Maranhão,Nordeste
Coelho Neto,MA,Maranhão,Nordeste
Colinas,MA,Maranhão,Nordeste
Conceição do Lago-Açu,MA,Maranhão,Nordeste
Coroatá,MA,Maranhão,Nordeste
Cururupu,MA,Maranhão,Nordeste
Davinópolis,MA,Maranhão,Nordeste
Dom Pedro,MA,Maranhão,Nordeste
Duque Bacelar,MA,Maranhão,Nordeste
Esperantinópolis,MA,Maranhão,Nordeste
Estreito,MA,Maranhão,Nordeste
Feira Nova do Maranhão,MA,Maranhão,Nordeste
Fernando Falcão,MA,Maranhão,Nordeste
Formosa da Serra Negra,MA,Maranhão,Nordeste
Fortaleza dos Nogueiras,MA,Maranhão,Nordeste
Fortuna,MA,Maranhão,Nordeste
Godofredo Viana,MA,Maranhão,Nordeste
Gonçalves Dias,MA,Maranhão,Nordeste
Governador Archer,MA,Maranhão,Nordeste
Governador Edison Lobão,MA,Maranhão,Nordeste
Governador Eugênio Barros,MA,Maranhão,Nordeste
Governador Luiz Rocha,MA,Maranhão,Nordeste
Governador Newton Bello,MA,Maranhão,Nordeste
Governador Nunes Freire,MA,Maranhão,Nordeste
Graça Aranha,MA,Maranhão,Nordeste
Grajaú,MA,Maranhão,Nordeste
Guimarães,MA,Maranhão,Nordeste
Humberto de Campos,MA,Maranhão,Nordeste
Icatu,MA,Maranhão,Nordeste
Igarapé do Meio,MA,Maranhão,Nordeste
Igarapé Grande,MA,Maranhão,Nordeste
Imperatriz,MA,Maranhão,Nordeste
Itaipava do Grajaú,MA,Maranhão,Nordeste
Itapecuru Mirim,MA,Maranhão,Nordeste
Itinga do Maranhão,MA,Maranhão,Nordeste
Jatobá,MA,Maranhão,Nordeste
Jenipapo dos Vieiras,MA,Maranhão,Nordeste
João Lisboa,MA,Maranhão,Nordeste
Joselândia,MA,Maranhão,Nordeste
Junco do Maranhão,MA,Maranhão,Nordeste
Lago da Pedra,MA,Maranhão,Nordeste
Lago do Junco,MA,Maranhão,Nordeste
Lago Verde,MA,Maranhão,Nordeste
Lagoa do Mato,MA,Maranhão,Nordeste
Lago dos Rodrigues,MA,Maranhão,Nordeste
Lagoa Grande do Maranhão,MA,Maranhão,Nordeste
Lajeado Novo,MA,Maranhão,Nordeste
Lima Campos,MA,Maranhão,Nordeste
Loreto,MA,Maranhão,Nordeste
Luís Domingues,MA,Maranhão,Nordeste
Magalhães de Almeida,MA,Maranhão,Nordeste
Maracaçumé,MA,Maranhão,Nordeste
Marajá do Sena,MA,Maranhão,Nordeste
Maranhãozinho,MA,Maranhão,Nordeste
Mata Roma,MA,Maranhão,Nordeste
Matinha,MA,Maranhão,Nordeste
Matões,MA,Maranhão,Nordeste
Matões do Norte,MA,Maranhão,Nordeste
Milagres do Maranhão,MA,Maranhão,Nordeste
Mirador,MA,Maranhão,Nordeste
Miranda do Norte,MA,Maranhão,Nordeste
Mirinzal,MA,Maranhão,Nordeste
Monção,MA,Maranhão,Nordeste
Montes Altos,MA,Maranhão,Nordeste
Morros,MA,Maranhão,Nordeste
Nina Rodrigues,MA,Maranhão,Nordeste
Nova Colinas,MA,Maranhão,Nordeste
Nova Iorque,MA,Maranhão,Nordeste
Nova Olinda do Maranhão,MA,Maranhão,Nordeste
Olho D'Água das Cunhãs,MA,Maranhão,Nordeste
Olinda Nova do Maranhão,MA,Maranhão,Nordeste
Paço do Lumiar,MA,Maranhão,Nordeste
Palmeirândia,MA,Maranhão,Nordeste
Paraibano,MA,Maranhão,Nordeste
Parnarama,MA,Maranhão,Nordeste
Passagem Franca,MA,Maranhão,Nordeste
Pastos Bons,MA,Maranhão,Nordeste
Paulino Neves,MA,Maranhão,Nordeste
Paulo Ramos,MA,Maranhão,Nordeste
Pedreiras,MA,Maranhão,Nordeste
Pedro do Rosário,MA,Maranhão,Nordeste
Penalva,MA,Maranhão,Nordeste
Peri Mirim,MA,Maranhão,Nordeste
Peritoró,MA,Maranhão,Nordeste
Pindaré-Mirim,MA,Maranhão,Nordeste
Pinheiro,MA,Maranhão,Nordeste
Pio XII,MA,Maranhão,Nordeste
Pirapemas,MA,Maranhão,Nordeste
Poção de Pedras,MA,Maranhão,Nordeste
Porto Franco,MA,Maranhão,Nordeste
Porto Rico do Maranhão,MA,Maranhão,Nordeste
Presidente Dutra,MA,Maranhão,Nordeste
Presidente Juscelino,MA,Maranhão,Nordeste
Presidente Médici,MA,Maranhão,Nordeste
Presidente Sarney,MA,Maranhão,Nordeste
Presidente Vargas,MA,Maranhão,Nordeste
Primeira Cruz,MA,Maranhão,Nordeste
Raposa,MA,Maranhão,Nordeste
Riachão,MA,Maranhão,Nordeste
Ribamar Fiquene,MA,Maranhão,Nordeste
Rosário,MA,Maranhão,Nordeste
Sambaíba,MA,Maranhão,Nordeste
Santa Filomena do Maranhão,MA,Maranhão,Nordeste
Santa Helena,MA,Maranhão,Nordeste
Santa Inês,MA,Maranhão,Nordeste
Santa Luzia,MA,Maranhão,Nordeste
Santa Luzia do Paruá,MA,Maranhão,Nordeste
Santa Quitéria do Maranhão,MA,Maranhão,Nordeste
Santa Rita,MA,Maranhão,Nordeste
Santana do Maranhão,MA,Maranhão,Nordeste
Santo Amaro do Maranhão,MA,Maranhão,Nordeste
Santo Antônio dos Lopes,MA,Maranhão,Nordeste
São Benedito do Rio Preto,MA,Maranhão,Nordeste
São Bento,MA,Maranhão,Nordeste
São Bernardo,MA,Maranhão,Nordeste
São Domingos do Azeitão,MA,Maranhão,Nordeste
São Domingos do Maranhão,MA,Maranhão,Nordeste
São Félix de Balsas,MA,Maranhão,Nordeste
São Francisco do Brejão,MA,Maranhão,Nordeste
São Francisco do Maranhão,MA,Maranhão,Nordeste
São João Batista,MA,Maranhão,Nordeste
São João do Carú,MA,Maranhão,Nordeste
São João do Paraíso,MA,Maranhão,Nordeste
São João do Soter,MA,Maranhão,Nordeste
São João dos Patos,MA,Maranhão,Nordeste
São José de Ribamar,MA,Maranhão,Nordeste
São José dos Basílios,MA,Maranhão,Nordeste
São Luís,MA,Maranhão,Nordeste
São Luís Gonzaga do Maranhão,MA,Maranhão,Nordeste
São Mateus do Maranhão,MA,Maranhão,Nordeste
São Pedro da Água Branca,MA,Maranhão,Nordeste
São Pedro dos Crentes,MA,Maranhão,Nordeste
São Raimundo das Mangabeiras,MA,Maranhão,Nordeste
São Raimundo do Doca Bezerra,MA,Maranhão,Nordeste
São Roberto,MA,Maranhão,Nordeste
São Vicente Ferrer,MA,Maranhão,Nordeste
Satubinha,MA,Maranhão,Nordeste
Senador Alexandre Costa,MA,Maranhão,Nordeste
Senador La Rocque,MA,Maranhão,Nordeste
Serrano do Maranhão,MA,Maranhão,Nordeste
Sítio Novo,MA,Maranhão,Nordeste
Sucupira do Norte,MA,Maranhão,Nordeste
Sucupira do Riachão,MA,Maranhão,Nordeste
Tasso Fragoso,MA,Maranhão,Nordeste
Timbiras,MA,Maranhão,Nordeste
Timon,MA,Maranhão,Nordeste
